Brand,Product,Review_Upvotes,pred_label,prob_negative,prob_neutral,prob_positive,Review_Title,Review_Text
Dermalogica,Daily Microfoliant,84,negative,0.7222042679786682,0.23913870751857758,0.038657013326883316,Super small,"For those curious, this is a .14 ounce size. That's about it a third of the travel size, which is .45 ounces and $15. So, a value of less than $5. I appreciate the gift, just wanted people to know what the actual size is. I should have just gotten the Lancôme mask online."
Dermalogica,Daily Microfoliant,47,negative,0.8461862206459045,0.12038106471300125,0.033432699739933014,Skin care for fairies.,So this is a comically small amount of product. I wish I would have chosen the mask. Photo is extremely misleading.
Dermalogica,Daily Microfoliant,25,negative,0.1354810744524002,0.8289034366607666,0.0356154665350914,Not enough product to decide if I would purchase.,"For as much as I spend at Ulta in a year, I would think the birthday gift would be a little......more substantial?"
Dermalogica,Daily Superfoliant,25,positive,0.015871483832597733,0.01850447990000248,0.9656240940093994,This cured my life.,"I was struggling with random breakouts and a weird redness that would only be around my nostrils. I found that every time I wore makeup I broke out the next day. I was using the daily microfolient, the original and I thought I would give this a try. And when I did I shiz you not, any problem I was having with my skin disappeared within a couple of uses. I no longer break out after wearing my makeup and the redness around my nostrils is gone! I use this product every day. I highly recommend!"
Dermalogica,Multi-Vitamin Thermafoliant,20,positive,0.016422061249613762,0.018469668924808502,0.9651082754135132,I have used this for years and my skin is still glowing!,"I use this daily. I have done this for over 15 years. Usually once a day. Because it is so good at polishing my skin there is no need for expensive procedures, injections, etc. Trust me - I tried some procedures and they are a waste of money! And because of this formula, my other skin products are exponentially more effective - it's a win, win! My skin is still glowing and fresh. And at 58 and I still get compliments daily - asking me how I keep my skin so gorgeous (and shocked when I tell people my age!). No joke!"
Dermalogica,Daily Microfoliant,19,negative,0.8882977962493896,0.06100878491997719,0.05069349333643913,SMALL,literally this thing is tiny I'm sure it's a good product but 1 star for it being sized like it's a Barbie doll product
Dermalogica,Daily Superfoliant,17,positive,0.0211101733148098,0.01722494699060917,0.9616649150848389,Best exfoliating product for aging skin,I've used Superfoliant for years but wanted to try Milkfoliant when it came out. The Superfoliant is by far the better exfoliating product. My skin feels so smooth and clean after use!
Dermalogica,Daily Microfoliant,16,negative,0.3201424777507782,0.6461758017539978,0.03368164971470833,Soooo small,"I opened the shipping box and thought there was a mistake... this is so small it should qualify as a sample. I wish I had picked something else as well. It's a nice product, but the amount is.... disappointing."
Dermalogica,Daily Microfoliant,15,negative,0.9470232725143433,0.03441159799695015,0.018565135076642036,Might as well be a foil packet,"I assumed we would be getting the typical travel size for this item. Nope, it's the the travel size's much smaller, homely cousin."
Dermalogica,Daily Superfoliant,15,positive,0.016635257750749588,0.023040911182761192,0.9603238105773926,Best exfoliant ever!,"So I read the reviews and decided to buy the travel size to see if I would like it before committing to the full size. Thank goodness for reviews! I absolutely love this product. I have acne prone skin and it particularly plagues me on my cheek area. As a result I have marks that have been significantly diminished since using this not to mention breakouts have been non-existent. I also use the powerbright dark spot serum they make as well. It's been a little over a week since I've started using but with these type of results this soon, I can't wait to see what my skin looks like in 3 months! (I generally give products 12 weeks/3months to judge whether or not it's been effective or to what degree)."
Dermalogica,Daily Superfoliant,14,negative,0.9451597929000854,0.03745972365140915,0.01738041825592518,Doesn't Compare to Essential Cleansing Solution,"It's puzzling how this cleanser was considered an improvement upon Essential Cleansing Solution. It is very drying, burns my eyes, and is way overpriced. I'm a long time Dermalogica fan and have been using their products for many years. Ultracalming Cleanser + Essential Cleansing Solution have been my holy grail cleansers for almost 15 years. But, unfortunately, now I'm going to have to research other skincare lines' hydrating cleansers. I would definitely not buy this cleanser again. At 43, the last thing I need is a cleanser that dries out my skin. Please consider bringing back Essential Cleansing Solution!"
